alcaldia,colonia,direccion,nivel,cct,escuela,aefcm,sectei,sobse
ALVARO OBREGÓN,JALALPA,"CALLE GUSTAVO DIAZ ORDAZ   S/N, AMPLIACION JALALPA, ALCALDÍA ALVARO OBREGÓN, C.P. 1296, CIUDAD DE MÉXICO.",PRIMARIA,09DPR1784M,ESCUELA PRIMARIA CARLOS A. PEREYRA,,,X
ALVARO OBREGÓN,JALALPA,"CALLE AVD. JALAPA  S/N, AMPLIACION JALALPA, ALCALDÍA ALVARO OBREGÓN, C.P. 01296, CIUDAD DE MÉXICO.",PRIMARIA,09DPR0022Z,ESCUELA PRIMARIA PROFR. LUIS AUDIRAC GALVEZ,,,X
ALVARO OBREGÓN,JALALPA,"CALLE GUSTAVO DIAZ ORDAZ  MANZANA 6 LOTE 2 Y CALLE 5  S/N, COLONIA JALALPA, ALCALDÍA ALVARO OBREGÓN, C.P. 01290, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN1160S,JARDÍN DE NIÑOS  MA. EVELIA MONTERRUBIO SAENZ,,,X
TLÁHUAC,QUIAHUATLA,"CALLE AZUCENA  S/N, COLONIA QUIAHUATLA, ALCALDÍA TLÁHUAC, C.P. 13090, CIUDAD DE MÉXICO.",PRIMARIA,09DPR5024F,ESCUELA PRIMARIA JULIA NAVA RUIZ SANCHEZ,x,,
IZTAPALAPA,CONSTITUCION DE 1917,"CALLE LIC. JOSE NATIVIDAD MACIAS Y GRAL. FRANCISCO ANDRADE  S/N, COLONIA CONSTITUCION DE 1917, ALCALDÍA IZTAPALAPA, C.P. 09360, CIUDAD DE MÉXICO.",SECUNDARIA,09DES0253K,ESCUELA SECUNDARIA JOSÉ NATIVIDAD MACIAS,x,,
ALVARO OBREGÓN,JALALPA EL GRANDE,"CALLE DIAZ ORDAZ  S/N, COLONIA JALALPA EL GRANDE, ALCALDÍA ALVARO OBREGÓN, C.P. 01290, CIUDAD DE MÉXICO.",PRIMARIA,09DPR4513O,ESCUELA PRIMARIA SALVADOR NAVA MARTÍNEZ,X,,X
ALVARO OBREGÓN,JALALPA EL GRANDE,"CALLE GUSTAVO DIAZ ORDAZ  S/N, COLONIA JALALPA EL GRANDE, ALCALDÍA ALVARO OBREGÓN, C.P. 01290, CIUDAD DE MÉXICO.",SECUNDARIA,09DST0100Z,ESCUELA SECUNDARIA TÉCNICA  NO.  100,,,X
ALVARO OBREGÓN,JALALPA EL GRANDE,"CALLE GUSTAVO DIAZ ORDAZ  S/N, COLONIA JALALPA EL GRANDE, ALCALDÍA ALVARO OBREGÓN, C.P. 01296, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN1278Q,JARDÍN DE NIÑOS  YOLOPATLI,,,X
ALVARO OBREGÓN,LOMAS DE PLATEROS,"CALLE FRANCISCO P MIRANDA  S/N, COLONIA LOMAS DE PLATEROS, ALCALDÍA ALVARO OBREGÓN, C.P. 01480, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0571N,JARDÍN DE NIÑOS  DINAMARCA,,,X
AZCAPOTZALCO,TRABAJADORES DEL HIERRO,"CALLE LATONEROS  NO.  107, COLONIA TRABAJADORES DEL HIERRO, ALCALDÍA AZCAPOTZALCO, C.P. 02650, CIUDAD DE MÉXICO.",SECUNDARIA,09DES0183F,ESCUELA SECUNDARIA REPÚBLICA DEMOCRÁTICA ALEMANA,,,X
