alcaldia,territorial,escuela,cct,nivel,domicilio,colonia,region
IZTAPALAPA,SANTA CRUZ QUETZALCOATL,CAM 11,09DML0130Q,ESPECIAL,BENITO JUÁREZ Y CHIMALPOPOCA,MIXCOATL,CEN
IZTAPALAPA,LOS CULHUACANES,CAM 71 JUAN HUARTE DE SAN JUAN,09DML0128B,ESPECIAL,CAMINO AL CERRO DE LA ESTRELLA S/N EDIF. 5,EL SANTUARIO,CEN
IZTAPALAPA,SANTA CRUZ QUETZALCOATL,CAM NO. 51,09DML0043V,ESPECIAL,AV. BENITO JUÁREZ S/N,MIXCOATL,CEN
IZTAPALAPA,AZTAHUACAN,ALFONSO L. HERRERA,09DJN1360Q,PREESCOLAR,IGNACIO ZARAGOZA S/N,SANTA MARIA AZTAHUACAN,JUA
IZTAPALAPA,ACATITLA,ARTEMIO DE VALLE ARIZPE,09DJN0363G,PREESCOLAR,FRANCISCO SARABIA S/N,SANTA MARTHA ACATITLA,JUA
IZTAPALAPA,REFORMA,CARLOS CHAVEZ,09DJN0550A,PREESCOLAR,CIRCUITO RIO MIXTECO S/N,REAL DEL MORAL,CEN
IZTAPALAPA,ACATITLA,CELESTIN FREINET,09DJN0107Q,PREESCOLAR,BATALLA DE CALVILLO S/N,ALVARO OBREGON FRACCIONAMIENTO,JUA
IZTAPALAPA,ACAHUALTEPEC TEOTONGO,CONTLE PAXQUI,09DJN1265M,PREESCOLAR,PINO S/N.,CAMPESTRE EL POTRERO,JUA
IZTAPALAPA,AZTAHUACAN,CUBA,09DJN0382V,PREESCOLAR,CALLE 39 NO. 135,UNIDAD SANTA CRUZ MEYEHUALCO,JUA
IZTAPALAPA,ANGELES AGRARISTA,ESTRELLA,09DJN0514W,PREESCOLAR,CERRO DE LA ESTRELLA S/N,PARAJE SAN JUAN,CEN
IZTAPALAPA,SANTA CRUZ QUETZALCOATL,IMMANTI,09DJN1372V,PREESCOLAR,"CAMINO VIEJO A ZAPOTITLA S/N, ESQ. MISAEL NUÑEZ",DEGOLLADO,CEN
IZTAPALAPA,REFORMA,MACUIZOCHITL,09DJN0381W,PREESCOLAR,BATALLA DE LOMA ALTA ESQ. GUERRA DE REFORMA S/N,LEYES DE REFORMA,CEN
IZTAPALAPA,LOS CULHUACANES,MOCTEZUMA ILHUICAMINA,09DJN0688M,PREESCOLAR,VICENTE GUERRERO NO. 45,SAN SIMON CULHUACAN,CEN
IZTAPALAPA,SANTA CATARINA,NAHIBI,09DJN1176T,PREESCOLAR,TEJOCOTES Y ESPIRITU SANTO S/N,XALPA,JUA
