numero,codigo,alcaldia,colonia,direccion,nivel,cct,escuela
1,GM361,GUSTAVO A. MADERO,SAN JUAN DE ARAGON,"CALLE 483 Y PLAZA 31 NO.  200, UNIDAD HABITACIONAL SAN JUAN DE ARAGON, ALCALDÍA GUSTAVO A. MADERO, C.P. 07920, CIUDAD DE MÉXICO.",PRIMARIA,09DPR1379E,ESCUELA PRIMARIA LUIS MARTÍNEZ  MURILLO
2,MH113,MIGUEL HIDALGO,ANAHUAC,"CALLE LAGO LADOGA NO.  300, COLONIA ANAHUAC, ALCALDÍA MIGUEL HIDALGO, C.P. 11320, CIUDAD DE MÉXICO.",PRIMARIA,09DPR1696S,ESCUELA PRIMARIA MODELO
3,IP103,IZTAPALAPA,ERMITA ZARAGOZA,"CALLE CHITO VILLAGRAN, SEGUNDA SECCION NO.  36, UNIDAD HABITACIONAL ERMITA ZARAGOZA, ALCALDÍA IZTAPALAPA, C.P. 09180, CIUDAD DE MÉXICO.",PRIMARIA,09DPR3126P,ESCUELA PRIMARIA EL SEGURO DEL MAESTRO
4,TP150,TLALPAN,TEPEXIMILPA SERVIMET,"CALLE LOMA BONITA  S/N, COLONIA TEPEXIMILPA SERVIMET, ALCALDÍA TLALPAN, C.P. 14427, CIUDAD DE MÉXICO.",PRIMARIA,09DPR2624F,ESCUELA PRIMARIA PROFR. SOSTENES NICOLAS CHAPA NIETO
5,CT204,CUAUHTÉMOC,CONDESA,"CALLE JUAN ESCUTIA  NO.  112, COLONIA CONDESA, ALCALDÍA CUAUHTÉMOC, C.P. 06140, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0748K,JARDÍN DE NIÑOS  UNIDAD ARTISTICA Y CULTURAL DEL BOSQUE
6,MH031,MIGUEL HIDALGO,DANIEL GARZA,"CALLE GENERAL JOSE MORAN NO.  36, AMPLIACION DANIEL GARZA, ALCALDÍA MIGUEL HIDALGO, C.P. 11840, CIUDAD DE MÉXICO.",ESPECIAL,09DML0035M,ESCUELA DE EDUCACION ESPECIAL - CAM CENTRO DE ATENCIÓN MÚLTIPLE NO. 34
7,AO113,ALVARO OBREGÓN,CAÑADA,"CALLE URBINA   S/N, COLONIA CAÑADA, ALCALDÍA ALVARO OBREGÓN, C.P. 01200, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0841Q,JARDÍN DE NIÑOS  DR. ARNOLD GESELL
8,AO100,ALVARO OBREGÓN,ESTADO DE HIDALGO,"CALLE EL CHICO  NO.  51, COLONIA ESTADO DE HIDALGO, ALCALDÍA ALVARO OBREGÓN, C.P. 01120, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0735G,JARDÍN DE NIÑOS  ALFREDO B. NOBEL
9,AZ008,AZCAPOTZALCO,TEZOZOMOC,"CALLE TLAHUICAS  S/N, COLONIA TEZOZOMOC, ALCALDÍA AZCAPOTZALCO, C.P. 02450, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0776G,JARDÍN DE NIÑOS  AMANECER
10,AZ080,AZCAPOTZALCO,DEL GAS,"CALLE CIPRES  NO.  4110, COLONIA DEL GAS, ALCALDÍA AZCAPOTZALCO, C.P. 02950, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0217W,JARDÍN DE NIÑOS  LIC. ALVARO GALVEZ Y FUENTES
11,GM157,GUSTAVO A. MADERO,EL ARBOLILLO II,"CALLE CHALMITA TENAYUCA  S/N, UNIDAD HABITACIONAL EL ARBOLILLO II, ALCALDÍA GUSTAVO A. MADERO, C.P. 07240, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN1270Y,JARDÍN DE NIÑOS  LUIS GONZÁLEZ OBREGON
12,GM004,GUSTAVO A. MADERO,TEPEYAC INSURGENTES (XOCOMETLA),"CALLE HABANA Y MONTIEL  S/N, COLONIA TEPEYAC INSURGENTES (XOCOMETLA), ALCALDÍA GUSTAVO A. MADERO, C.P. 07020, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0195A,JARDÍN DE NIÑOS  18 DE MARZO
13,CT111,CUAUHTÉMOC,NONOALCO TLATELOLCO,"CALLE MANUEL GONZALEZ  NO.  396, UNIDAD HABITACIONAL NONOALCO TLATELOLCO, ALCALDÍA CUAUHTÉMOC, C.P. 06900, CIUDAD DE MÉXICO.",PRIMARIA,09DPR1134K,ESCUELA PRIMARIA I.S.S.S.T.E.
14,VC048,VENUSTIANO CARRANZA,AMPLIACION 20 DE NOVIEMBRE,"CALLE ANILLO DE CIRCUNVALACIÓN  NO.  87, COLONIA AMPLIACION 20 DE NOVIEMBRE , ALCALDÍA VENUSTIANO CARRANZA, C.P. 15260, CIUDAD DE MÉXICO.",PRIMARIA,09DIX0017P,"ESCUELA PRIMARIA FRANCISCO I. MADERO ""INTERNADO 17"""
15,GM062,GUSTAVO A. MADERO,LUIS DONALDO COLOSIO MURRIETA,"CALLE ARROYO ARMELLA  S/N, COLONIA LUIS DONALDO COLOSIO MURRIETA, ALCALDÍA GUSTAVO A. MADERO, C.P. 07050, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN1365L,JARDÍN DE NIÑOS  DEMETRIO SODI PALLARES
16,IP398,IZTAPALAPA,SAN MIGUEL TEOTONGO TORRES MERCED,"CALLE TOMACOCO Y AVENIDA DE LAS TORRES Y LAS AMERICAS  S/N, COLONIA SAN MIGUEL TEOTONGO TORRES MERCED, ALCALDÍA IZTAPALAPA, C.P. 09630, CIUDAD DE MÉXICO.",SECUNDARIA,09DES0267N,ESCUELA SECUNDARIA TEODORO FLORES
17,IP231,IZTAPALAPA,LAS PEÑAS,"CALLE PLATON SANCHEZ Y CLAVEL  S/N, COLONIA LAS PEÑAS, ALCALDÍA IZTAPALAPA, C.P. 09750, CIUDAD DE MÉXICO.",SECUNDARIA,09DES0287A,ESCUELA SECUNDARIA JULIO VERNE
18,IP429,IZTAPALAPA,SAN FRANCISCO APOLOCALCO,"CALLE APOLOCALCO Y YACAHUITZOTL  S/N, COLONIA SAN FRANCISCO APOLOCALCO, ALCALDÍA IZTAPALAPA, C.P. 09900, CIUDAD DE MÉXICO.",PRIMARIA,09DPR5067D,ESCUELA PRIMARIA XIUHZITZQUILI
19,VC108,VENUSTIANO CARRANZA,JARDIN BALBUENA,"CALLE RT 32 DE GENEARO GARCIA   S/N, COLONIA JARDIN BALBUENA, ALCALDÍA VENUSTIANO CARRANZA, C.P. 15900, CIUDAD DE MÉXICO.",PRIMARIA,09DPR1034L,ESCUELA PRIMARIA REPÚBLICA DE LIBERIA
20,IP423,IZTAPALAPA,JUAN ESCUTIA,"CALLE QUINTA DE JUAN ENRIQUEZ NO.  33, COLONIA JUAN ESCUTIA, ALCALDÍA IZTAPALAPA, C.P. 09100, CIUDAD DE MÉXICO.",PRIMARIA,09DPR1010B,ESCUELA PRIMARIA VOCEADORES DE MÉXICO
21,IP118,IZTAPALAPA,SAN ANDRES TETEPILCO,"CALLE GRAN BRETAÑA  NO.  147, COLONIA SAN ANDRES TETEPILCO, ALCALDÍA IZTAPALAPA, C.P. 09440, CIUDAD DE MÉXICO.",SECUNDARIA,09DST0025I,ESCUELA SECUNDARIA TÉCNICA  NO.  25
22,IP058,IZTAPALAPA,ERMITA ZARAGOZA,"CALLE CHILPANCINGO SUR Y NORTE  S/N, UNIDAD HABITACIONAL ERMITA ZARAGOZA, ALCALDÍA IZTAPALAPA, C.P. 09180, CIUDAD DE MÉXICO.",SECUNDARIA,09DES0214I,ESCUELA SECUNDARIA CARLOS MARX
23,CT211,CUAUHTÉMOC,UH NONOALCO TLATELOLCO,"CALLE RICARDO FLORES MAGON  NO.  276, UNIDAD HABITACIONAL UH NONOALCO TLATELOLCO , ALCALDÍA CUAUHTÉMOC, C.P. 06900, CIUDAD DE MÉXICO.",ESPECIAL,09DML0068D,ESCUELA DE EDUCACION ESPECIAL - CAM CENTRO DE ATENCIÓN MÚLTIPLE NO. 33
24,AO137,ALVARO OBREGÓN,HERON PROAL,"CALLE CENTENARIO Y CALLE 1  S/N, COLONIA HERON PROAL, ALCALDÍA ALVARO OBREGÓN, C.P. 01640, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0673K,JARDÍN DE NIÑOS  JOSÉ JOAQUIN FERNANDEZ DE LIZARDI
25,MH063,MIGUEL HIDALGO,LEGARIA,"CALLE LAGO ONTARIO Y LAGO WINNIPEG  S/N, COLONIA LEGARIA, ALCALDÍA MIGUEL HIDALGO, C.P. 11410, CIUDAD DE MÉXICO.",PRIMARIA,09DPR1720B,ESCUELA PRIMARIA ESTADO DE GUERRERO
26,TP120,TLALPAN,SAN MIGUEL XICALCO,"CALLE EMILIANO ZAPATA NO.  69, COLONIA SAN MIGUEL XICALCO, ALCALDÍA TLALPAN, C.P. 14490, CIUDAD DE MÉXICO.",ESPECIAL,09DML0024G,ESCUELA DE EDUCACION ESPECIAL - CAM CENTRO DE ATENCIÓN MÚLTIPLE NO. 69
27,GM135,GUSTAVO A. MADERO,LA PRADERA,"CALLE VOLCAN IZTACCIHUATL Y LOS PINOS NO.  90, COLONIA LA PRADERA, ALCALDÍA GUSTAVO A. MADERO, C.P. 07500, CIUDAD DE MÉXICO.",PRIMARIA,09DPR2566F,ESCUELA PRIMARIA JUAN JACOBO ROUSSEAU
28,AO060,ALVARO OBREGÓN,PILOTO ADOLFO LOPEZ MATEOS,"CALLE PUERTO KINO MANZANA A LOTE 3 Y 4  S/N, COLONIA PILOTO ADOLFO LOPEZ MATEOS, ALCALDÍA ALVARO OBREGÓN, C.P. 01290, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0236K,JARDÍN DE NIÑOS  PAULO FREIRE
29,GM309,GUSTAVO A. MADERO,SAN PEDRO EL CHICO,"CALLE NORTE 84 A NO.  6618, COLONIA SAN PEDRO EL CHICO, ALCALDÍA GUSTAVO A. MADERO, C.P. 07480, CIUDAD DE MÉXICO.",PRIMARIA,09DPR1474I,ESCUELA PRIMARIA ENRIQUE GONZÁLEZ MARTINEZ
30,AO181,ALVARO OBREGÓN,AXOTLA,"CALLE PORVENIR  NO.  29, PUEBLO AXOTLA, ALCALDÍA ALVARO OBREGÓN, C.P. 01030, CIUDAD DE MÉXICO.",PREESCOLAR,09DJN0521F,JARDÍN DE NIÑOS  SILVESTRE REVUELTAS
